"","Date","location","count","status","year","month","day","julian"
"316",2015-06-24,"Britannia",213.1810674,"NoSwim","2015",6,24,175
"317",2015-06-24,"Westboro",29.30156052,"Swim","2015",6,24,175
"318",2015-06-24,"Mooneys",87.65405251,"Swim","2015",6,24,175
"319",2015-06-24,"PetrieEast",16.4375183,"Swim","2015",6,24,175
"320",2015-06-24,"PetrieRiver",30.45261198,"Swim","2015",6,24,175
"321",2015-06-25,"Britannia",33.65865436,"Swim","2015",6,25,176
"322",2015-06-25,"Westboro",36.80109614,"Swim","2015",6,25,176
"323",2015-06-25,"Mooneys",21.68943542,"Swim","2015",6,25,176
"324",2015-06-25,"PetrieEast",15.15716567,"Swim","2015",6,25,176
"325",2015-06-25,"PetrieRiver",27.61745565,"Swim","2015",6,25,176
"326",2015-06-26,"Britannia",12.4573094,"Swim","2015",6,26,177
"327",2015-06-26,"Westboro",37.91955329,"Swim","2015",6,26,177
"328",2015-06-26,"Mooneys",44.35100411,"Swim","2015",6,26,177
"329",2015-06-26,"PetrieEast",13.19507911,"Swim","2015",6,26,177
"330",2015-06-26,"PetrieRiver",35.61463806,"Swim","2015",6,26,177
"331",2015-06-27,"Britannia",10,"Swim","2015",6,27,178
"332",2015-06-27,"Westboro",75.99325238,"Swim","2015",6,27,178
"333",2015-06-27,"Mooneys",14.30969081,"Swim","2015",6,27,178
"334",2015-06-27,"PetrieEast",13.19507911,"Swim","2015",6,27,178
"335",2015-06-27,"PetrieRiver",35.19482029,"Swim","2015",6,27,178
"336",2015-06-28,"Britannia",12.4573094,"Swim","2015",6,28,179
"337",2015-06-28,"Westboro",195.1518317,"Swim","2015",6,28,179
"338",2015-06-28,"Mooneys",24.59509486,"Swim","2015",6,28,179
"339",2015-06-28,"PetrieEast",262.7703436,"NoSwim","2015",6,28,179
"340",2015-06-28,"PetrieRiver",21.68943542,"Rain","2015",6,28,179
"341",2015-06-29,"Britannia",11.48698355,"Swim","2015",6,29,180
"342",2015-06-29,"Westboro",451.4227966,"NoSwim","2015",6,29,180
"343",2015-06-29,"Mooneys",49.19018972,"Swim","2015",6,29,180
"344",2015-06-29,"PetrieEast",16.4375183,"Swim","2015",6,29,180
"345",2015-06-29,"PetrieRiver",80.03376753,"Swim","2015",6,29,180
"346",2015-06-30,"Britannia",13.19507911,"Swim","2015",6,30,181
"347",2015-06-30,"Westboro",22.20643035,"Swim","2015",6,30,181
"348",2015-06-30,"Mooneys",64.90684446,"Swim","2015",6,30,181
