Date,Britannia ,Westboro,Mooneys,PetrieEast,PetrieRiver
2019-07-24,Swim,Swim,Swim,Swim,Swim
2019-07-25,Swim,Swim,Swim,Swim,Swim
2019-07-26,Swim,Swim,Swim,Swim,Swim
2019-07-27,Swim,Swim,Swim,Swim,Swim
2019-07-28,Swim,Swim,Swim,Swim,Swim
2019-07-29,Swim,Swim,Swim,Swim,Swim
2019-07-30,Swim,Swim,Swim,Swim,Swim
2019-07-31,Swim,Swim,Swim,Swim,Swim
2019-08-01,NoSwim,NoSwim,Swim,Swim,Swim
2019-08-02,Swim,NoSwim,Swim,Swim,Swim
2019-08-03,Swim,Swim,Swim,Swim,Swim
2019-08-04,Swim,Swim,Swim,Swim,Swim
2019-08-05,Swim,Swim,Swim,Swim,Swim
2019-08-06,Swim,Swim,Swim,Swim,Swim
2019-08-07,Rain,Swim,Swim,Swim,Swim
2019-08-08,Swim,Swim,Swim,Rain,Rain
2019-08-09,Swim,Swim,Swim,Swim,Swim
2019-08-10,Swim,Swim,Swim,Swim,NoSwim
2019-08-11,Swim,Swim,Swim,Swim,Swim
2019-08-12,Swim,Swim,Swim,Swim,Swim
2019-08-13,Swim,Swim,Swim,Swim,Swim
2019-08-14,Swim,Swim,NoSwim,Swim,Swim
2019-08-15,Swim,Swim,Swim,Swim,Swim
2019-08-16,Swim,Swim,Swim,Swim,Swim
2019-08-17,Swim,Swim,Swim,Swim,Swim
2019-08-18,Swim,NoSwim,Swim,NoSwim,Swim
2019-08-19,NoSwim,NoSwim,NoSwim,Swim,Swim
2019-08-20,Swim,Swim,Swim,Swim,NoSwim
2019-08-21,Swim,Swim,Swim,NoSwim,Swim
2019-08-22,Swim,Swim,Swim,Swim,Swim
2019-08-23,Swim,Swim,Swim,Swim,NoSwim
2019-08-24,Swim,NoSwim,Swim,NoSwim,Swim
2019-08-25,Swim,Swim,Swim,Swim,Swim
